bib,isbn,bookType,title,publishDate,publishOrder,firstCheckOut,lastCheckOut,adoption,publishDay,fcheckoutDay,ageFull,ageCheckouts,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,totalCheckout,deweyNumber,deweyCategory
2417163,1426200315,acbk,Historys great,3/20/07,279,4/18/07,1/3/15,29,78,107,3483,3179,0,34,12,10,13,32,35,19,27,24,206,909, World history
2396353,1585678341,acbk,Sister Teresa t,3/22/07,280,4/17/07,10/11/13,26,80,106,3481,3180,0,29,17,7,9,5,3,6,0,0,76,944, France & Monaco
2583607,1904920233,acbk,Wagamama cookbo,3/26/07,281,5/27/09,11/26/14,793,84,146,3477,2409,0,0,0,33,39,28,38,20,14,6,178,641, Food & drink
2468657,1575255332,jcbk,My first monolo,3/30/07,282,1/23/08,1/20/15,299,88,22,3473,2899,0,0,19,12,8,13,7,6,3,5,73,808,Rhetoric & collections of literary texts from more than two literatures
2471688,976773597,acbk,Black out the b,3/31/07,283,5/21/08,2/12/14,417,89,141,3472,2780,0,0,6,4,5,2,2,1,1,0,21,650,Management & auxiliary services
2356250,1558688633,acbk,Seattle,4/1/07,284,10/17/07,1/2/15,199,90,289,3471,2997,0,30,40,24,27,23,16,17,8,10,195,979,Great Basin & Pacific Slope region of United States
2628870,1572245948,acbk,Digging out hel,4/1/07,285,1/14/10,10/7/14,1019,90,13,3471,2177,0,0,0,0,56,31,23,19,7,15,151,616, Diseases
2408041,60765895,acbk,Nefertiti the b,4/3/07,286,5/2/07,1/15/14,29,92,121,3469,3165,0,47,32,20,25,22,22,10,1,0,179,796,Athletic & outdoor sports & games
2413848,803726961,jcbk,twin princes,4/5/07,287,5/1/07,1/17/15,26,94,120,3467,3166,0,109,140,130,107,100,76,69,39,23,793,745,Decorative arts
2728461,014045537X,acbk,book of Chuang,4/6/07,288,8/2/11,5/3/13,1579,95,213,3466,1612,0,0,0,0,0,6,10,5,0,0,21,299,Religions not provided for elsewhere
2410849,374317089,jcbk,Dawn and dusk,4/7/07,289,4/17/07,10/1/13,10,96,106,3465,3180,0,5,4,1,0,1,0,1,0,0,12,174,Occupational ethics
2409338,738709662,acbk,Lost dog,4/8/07,290,4/13/07,11/18/14,5,97,102,3464,3184,0,22,23,12,4,9,3,0,5,0,78,332, Financial economics
2404591,618756396,jcbk,Rainstorm,4/9/07,291,4/23/07,1/21/15,14,98,112,3463,3174,0,86,119,101,99,106,87,50,23,20,691,394, General customs
2731451,976896931,acbk,Mothering multi,4/11/07,292,8/28/11,12/29/14,1600,100,239,3461,1586,0,0,0,0,0,4,9,12,13,14,52,618," Gynecology, obstetrics, pediatrics, geriatrics"
